,delay,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon
118,60572412.4004,Coney Island - Stillwell Av_0,Woodhaven Blvd_1,46699045.93,52362135.75,99061181.68,-38488769.2796,40.577422,-73.981233,40.693879,-73.851576
119,185263388.073,34 St - Herald Sq_0,Woodhaven Blvd_1,90801761.1,52362135.75,143163896.85,42099491.223,40.749643,-73.9878865,40.693879,-73.851576
120,120100099.92,125 St_3,Woodhaven Blvd_1,82386176.59,52362135.75,134748312.34,-14648212.42,40.811109,-73.952343,40.693879,-73.851576
121,118192219.787,96 St_0,Woodhaven Blvd_1,95031934.86,52362135.75,147394070.61,-29201850.823,40.793919,-73.972323,40.693879,-73.851576
122,133187740.299,Fulton St_1,Woodhaven Blvd_1,124752536.0,52362135.75,177114671.75,-43926931.451,40.7102996,-74.0087818,40.693879,-73.851576
123,128124522.087,Kings Hwy_0,Woodhaven Blvd_1,92284371.79,52362135.75,144646507.54,-16521985.453,40.60867,-73.957734,40.693879,-73.851576
124,122604252.24,Hoyt - Schermerhorn Sts_0,Woodhaven Blvd_1,75204312.62,52362135.75,127566448.37,-4962196.13,40.688484,-73.985001,40.693879,-73.851576
125,125087618.636,34 St - Penn Station_0,Woodhaven Blvd_1,69334469.21,52362135.75,121696604.96,3391013.676,40.750373,-73.991057,40.693879,-73.851576
126,122307157.288,Fulton St_0,Woodhaven Blvd_1,107387530.8,52362135.75,159749666.55,-37442509.262,40.7097353333,-74.006908,40.693879,-73.851576
127,121447355.63,W 4 St_0,Woodhaven Blvd_1,85419119.45,52362135.75,137781255.2,-16333899.57,40.732338,-74.000495,40.693879,-73.851576
128,114571454.935,Broadway-Lafayette St_0,Woodhaven Blvd_1,73972670.61,52362135.75,126334806.36,-11763351.425,40.725297,-73.996204,40.693879,-73.851576
129,110060218.418,Canal St_2,Woodhaven Blvd_1,77276655.69,52362135.75,129638791.44,-19578573.022,40.720824,-74.005229,40.693879,-73.851576
130,101337184.443,Utica Av_0,Woodhaven Blvd_1,64742442.77,52362135.75,117104578.52,-15767394.077,40.679364,-73.930729,40.693879,-73.851576
131,104142214.866,Canal St_0,Woodhaven Blvd_1,61934200.53,52362135.75,114296336.28,-10154121.414,40.718793,-74.0007127778,40.693879,-73.851576
132,100397215.366,DeKalb Av_0,Woodhaven Blvd_1,53619543.14,52362135.75,105981678.89,-5584463.524,40.690635,-73.981824,40.693879,-73.851576
133,112391663.062,Court Sq_0,Woodhaven Blvd_1,71234299.43,52362135.75,123596435.18,-11204772.118,40.74731725,-73.945274,40.693879,-73.851576
134,97266971.4408,Crown Hts - Utica Av_0,Woodhaven Blvd_1,65796931.84,52362135.75,118159067.59,-20892096.1492,40.668897,-73.932942,40.693879,-73.851576
135,96137186.5678,Borough Hall_0,Woodhaven Blvd_1,52013009.52,52362135.75,104375145.27,-8237958.7022,40.69273,-73.9900898,40.693879,-73.851576
136,72461698.8636,Pennsylvania Av_0,Woodhaven Blvd_1,61520400.0,52362135.75,113882535.75,-41420836.8864,40.664635,-73.894895,40.693879,-73.851576
137,69470784.8235,Rector St_0,Woodhaven Blvd_1,83457571.74,52362135.75,135819707.49,-66348922.6665,40.7073372,-74.0135184,40.693879,-73.851576
138,64058724.7608,Prospect Av_1,Woodhaven Blvd_1,44668166.84,52362135.75,97030302.59,-32971577.8292,40.665414,-73.992872,40.693879,-73.851576
139,63398993.9672,Van Siclen Av_0,Woodhaven Blvd_1,50320800.0,52362135.75,102682935.75,-39283941.7828,40.665449,-73.889395,40.693879,-73.851576
140,247442774.671,Atlantic Av - Barclays Ctr_0,Woodhaven Blvd_1,189349948.0,52362135.75,241712083.75,5730690.921,40.6841504444,-73.9778748889,40.693879,-73.851576
141,295820872.576,Queensboro Plaza_0,Woodhaven Blvd_1,241567386.0,52362135.75,293929521.75,1891350.826,40.750582,-73.940202,40.693879,-73.851576
142,277470571.823,36 St_0,Woodhaven Blvd_1,218885155.3,52362135.75,271247291.05,6223280.773,40.655144,-74.003549,40.693879,-73.851576
143,463292570.328,Forest Hills - 71 Av_0,Woodhaven Blvd_1,194729005.8,52362135.75,247091141.55,216201428.778,40.721691,-73.844521,40.693879,-73.851576
144,241896977.602,161 St - Yankee Stadium_0,Woodhaven Blvd_1,224782444.8,52362135.75,277144580.55,-35247602.948,40.8279346667,-73.925711,40.693879,-73.851576
145,235248348.64,36 Av_0,Woodhaven Blvd_1,196700400.0,52362135.75,249062535.75,-13814187.11,40.756804,-73.929575,40.693879,-73.851576
146,232610014.751,Grant Av_0,Woodhaven Blvd_1,193507200.0,52362135.75,245869335.75,-13259320.999,40.677044,-73.86505,40.693879,-73.851576
147,220233891.724,80 St_0,Woodhaven Blvd_1,172328400.0,52362135.75,224690535.75,-4456644.026,40.679371,-73.858992,40.693879,-73.851576
148,202461857.012,Hunts Point Av_0,Woodhaven Blvd_1,191325600.0,52362135.75,243687735.75,-41225878.738,40.820948,-73.890549,40.693879,-73.851576
149,211337724.13,Broadway_1,Woodhaven Blvd_1,174884400.0,52362135.75,227246535.75,-15908811.62,40.76182,-73.925508,40.693879,-73.851576
150,232491821.721,Prospect Park_0,Woodhaven Blvd_1,156023814.8,52362135.75,208385950.55,24105871.171,40.661614,-73.962246,40.693879,-73.851576
151,200773023.175,88 St_0,Woodhaven Blvd_1,163116000.0,52362135.75,215478135.75,-14705112.575,40.679843,-73.85147,40.693879,-73.851576
152,151992824.371,72 St_2,Woodhaven Blvd_1,216691200.0,52362135.75,269053335.75,-117060511.379,40.768799,-73.958424,40.693879,-73.851576
153,122023174.086,47-50 Sts - Rockefeller Ctr_0,Woodhaven Blvd_1,145230650.5,52362135.75,197592786.25,-75569612.164,40.758663,-73.981329,40.693879,-73.851576
154,207968546.052,86 St_1,Woodhaven Blvd_1,149002044.4,52362135.75,201364180.15,6604365.902,40.779492,-73.955589,40.693879,-73.851576
155,112673010.374,57 St - 7 Av_0,Woodhaven Blvd_1,90688608.13,52362135.75,143050743.88,-30377733.506,40.764664,-73.980658,40.693879,-73.851576
156,187255720.214,President St_0,Woodhaven Blvd_1,190162800.0,52362135.75,242524935.75,-55269215.536,40.667883,-73.950683,40.693879,-73.851576
157,176801125.465,Sterling St_0,Woodhaven Blvd_1,180536400.0,52362135.75,232898535.75,-56097410.285,40.662742,-73.95085,40.693879,-73.851576
158,187472235.369,Rockaway Blvd_0,Woodhaven Blvd_1,155858400.0,52362135.75,208220535.75,-20748300.381,40.680429,-73.843853,40.693879,-73.851576
159,180829528.812,30 Av_0,Woodhaven Blvd_1,149392800.0,52362135.75,201754935.75,-20925406.938,40.766779,-73.921479,40.693879,-73.851576
160,86876599.5879,Sutter Av - Rutland Rd_0,Woodhaven Blvd_1,66731112.14,52362135.75,119093247.89,-32216648.3021,40.664717,-73.92261,40.693879,-73.851576
161,146169556.04,Flushing - Main St_0,Woodhaven Blvd_1,157528800.0,52362135.75,209890935.75,-63721379.71,40.7596,-73.83003,40.693879,-73.851576
162,63182112.9599,Union St_0,Woodhaven Blvd_1,49906137.58,52362135.75,102268273.33,-39086160.3701,40.677316,-73.98311,40.693879,-73.851576
163,143232365.948,181 St_0,Woodhaven Blvd_1,158248800.0,52362135.75,210610935.75,-67378569.802,40.849505,-73.933596,40.693879,-73.851576
164,122848132.553,42 St - Port Authority Bus Terminal_0,Woodhaven Blvd_1,184786800.3,52362135.75,237148936.05,-114300803.497,40.757308,-73.989735,40.693879,-73.851576
165,120795826.378,34 St - Penn Station_1,Woodhaven Blvd_1,160662771.2,52362135.75,213024906.95,-92229080.572,40.752287,-73.993391,40.693879,-73.851576
166,110400744.21,86 St_4,Woodhaven Blvd_1,147834000.0,52362135.75,200196135.75,-89795391.54,40.777891,-73.951787,40.693879,-73.851576
167,81811923.0131,Whitehall St_0,Woodhaven Blvd_1,166596572.0,52362135.75,218958707.75,-137146784.737,40.703087,-74.012994,40.693879,-73.851576
168,103779226.729,7 Av_0,Woodhaven Blvd_1,72854053.08,52362135.75,125216188.83,-21436962.101,40.762862,-73.981637,40.693879,-73.851576
169,92031425.8323,Woodside - 61 St_0,Woodhaven Blvd_1,72995189.13,52362135.75,125357324.88,-33325899.0477,40.74563,-73.902984,40.693879,-73.851576
170,71841464.3195,Queens Plaza_0,Woodhaven Blvd_1,53771059.36,52362135.75,106133195.11,-34291730.7905,40.748973,-73.937243,40.693879,-73.851576
171,108214850.279,Grand Central - 42 St_1,Woodhaven Blvd_1,166557698.0,52362135.75,218919833.75,-110704983.471,40.752769,-73.979189,40.693879,-73.851576
172,576733540.912,Jackson Hts - Roosevelt Av_0,149 St - Grand Concourse_0,301205900.1,284908878.5,586114778.6,-9381237.688,40.746644,-73.891338,40.8183983333,-73.926929
173,387222796.953,Newkirk Plaza_0,149 St - Grand Concourse_0,112878557.4,284908878.5,397787435.9,-10564638.947,40.635082,-73.962793,40.8183983333,-73.926929
174,302508954.287,Essex St_0,149 St - Grand Concourse_0,82901334.71,284908878.5,367810213.21,-65301258.923,40.718315,-73.987437,40.8183983333,-73.926929
175,335299714.768,Nostrand Av_1,149 St - Grand Concourse_0,75881384.82,284908878.5,360790263.32,-25490548.552,40.680438,-73.950426,40.8183983333,-73.926929
