,delay,station_0,station_1,station_0_lat,station_0_lon,station_1_lat,station_1_lon
169,505243302.723,Jackson Hts - Roosevelt Av_0,3 Av - 138 St_0,40.746644,-73.891338,40.810476,-73.926138
170,485569788.484,Broadway Jct_0,3 Av - 138 St_0,40.678904,-73.9045792,40.810476,-73.926138
171,477845330.648,Junction Blvd_0,3 Av - 138 St_0,40.749145,-73.869527,40.810476,-73.926138
172,474149943.305,Kew Gardens - Union Tpke_0,3 Av - 138 St_0,40.714441,-73.831008,40.810476,-73.926138
173,469692287.954,Grand Central - 42 St_0,3 Av - 138 St_0,40.751707,-73.9766866,40.810476,-73.926138
174,456984914.231,149 St - Grand Concourse_0,3 Av - 138 St_0,40.8183983333,-73.926929,40.810476,-73.926138
175,445991248.898,Queensboro Plaza_0,3 Av - 138 St_0,40.750582,-73.940202,40.810476,-73.926138
176,445497243.607,Lexington Av/63 St_0,3 Av - 138 St_0,40.764629,-73.966113,40.810476,-73.926138
177,440280000.0,3 Av - 149 St_0,3 Av - 138 St_0,40.816109,-73.917757,40.810476,-73.926138
178,439103254.183,Franklin Av_1,3 Av - 138 St_0,40.670682,-73.958131,40.810476,-73.926138
179,281401859.893,125 St_2,3 Av - 138 St_0,40.804138,-73.937594,40.810476,-73.926138
180,504387547.888,149 St - Grand Concourse_0,59 St - Columbus Circle_0,40.8183983333,-73.926929,40.768275,-73.9818187143
181,458136832.443,125 St_2,59 St - Columbus Circle_0,40.804138,-73.937594,40.768275,-73.9818187143
182,439301963.175,Jackson Hts - Roosevelt Av_0,59 St - Columbus Circle_0,40.746644,-73.891338,40.768275,-73.9818187143
183,427438604.956,Grand Central - 42 St_0,59 St - Columbus Circle_0,40.751707,-73.9766866,40.768275,-73.9818187143
184,416881985.483,Broadway Jct_0,59 St - Columbus Circle_0,40.678904,-73.9045792,40.768275,-73.9818187143
185,409774512.279,Junction Blvd_0,59 St - Columbus Circle_0,40.749145,-73.869527,40.768275,-73.9818187143
186,406209003.511,Kew Gardens - Union Tpke_0,59 St - Columbus Circle_0,40.714441,-73.831008,40.768275,-73.9818187143
187,402199998.783,161 St - Yankee Stadium_0,59 St - Columbus Circle_0,40.8279346667,-73.925711,40.768275,-73.9818187143
188,391727761.756,3 Av - 149 St_0,59 St - Columbus Circle_0,40.816109,-73.917757,40.768275,-73.9818187143
189,381684786.576,Lexington Av/63 St_0,59 St - Columbus Circle_0,40.764629,-73.966113,40.768275,-73.9818187143
190,379331622.396,Queensboro Plaza_0,59 St - Columbus Circle_0,40.750582,-73.940202,40.768275,-73.9818187143
191,375574888.636,59 St_0,59 St - Columbus Circle_0,40.762526,-73.967967,40.768275,-73.9818187143
192,371305703.492,Franklin Av_1,59 St - Columbus Circle_0,40.670682,-73.958131,40.768275,-73.9818187143
193,369760278.78,3 Av - 138 St_0,59 St - Columbus Circle_0,40.810476,-73.926138,40.768275,-73.9818187143
194,357138335.123,36 St_0,59 St - Columbus Circle_0,40.655144,-74.003549,40.768275,-73.9818187143
195,354504845.311,72 St_2,59 St - Columbus Circle_0,40.768799,-73.958424,40.768275,-73.9818187143
196,340104261.95,Euclid Av_0,59 St - Columbus Circle_0,40.675377,-73.872106,40.768275,-73.9818187143
197,336734533.73,39 Av_0,59 St - Columbus Circle_0,40.752882,-73.932755,40.768275,-73.9818187143
198,334190333.66,36 Av_0,59 St - Columbus Circle_0,40.756804,-73.929575,40.768275,-73.9818187143
199,333645725.517,Forest Hills - 71 Av_0,59 St - Columbus Circle_0,40.721691,-73.844521,40.768275,-73.9818187143
200,332813710.361,Parsons Blvd_0,59 St - Columbus Circle_0,40.707564,-73.803326,40.768275,-73.9818187143
201,331208904.053,Grant Av_0,59 St - Columbus Circle_0,40.677044,-73.86505,40.768275,-73.9818187143
202,329729833.542,14 St - Union Sq_0,59 St - Columbus Circle_0,40.7352045,-73.9902595,40.768275,-73.9818187143
203,329528032.671,Hunts Point Av_0,59 St - Columbus Circle_0,40.820948,-73.890549,40.768275,-73.9818187143
204,328638924.035,Atlantic Av - Barclays Ctr_0,59 St - Columbus Circle_0,40.6841504444,-73.9778748889,40.768275,-73.9818187143
205,328440885.169,President St_0,59 St - Columbus Circle_0,40.667883,-73.950683,40.768275,-73.9818187143
206,318934237.669,Sterling St_0,59 St - Columbus Circle_0,40.662742,-73.95085,40.768275,-73.9818187143
207,312493141.179,Broadway_1,59 St - Columbus Circle_0,40.76182,-73.925508,40.768275,-73.9818187143
208,311718857.539,168 St - Washington Hts_0,59 St - Columbus Circle_0,40.840556,-73.940133,40.768275,-73.9818187143
209,311495194.107,42 St - Port Authority Bus Terminal_0,59 St - Columbus Circle_0,40.757308,-73.989735,40.768275,-73.9818187143
210,310373034.264,80 St_0,59 St - Columbus Circle_0,40.679371,-73.858992,40.768275,-73.9818187143
211,309877202.515,E 180 St_0,59 St - Columbus Circle_0,40.841894,-73.873488,40.768275,-73.9818187143
212,308366834.237,Winthrop St_0,59 St - Columbus Circle_0,40.656652,-73.9502,40.768275,-73.9818187143
213,304172510.12,Whitehall St_0,59 St - Columbus Circle_0,40.703087,-74.012994,40.768275,-73.9818187143
214,303562658.081,Grand Central - 42 St_1,59 St - Columbus Circle_0,40.752769,-73.979189,40.768275,-73.9818187143
215,296119845.26,5 Av/53 St_0,59 St - Columbus Circle_0,40.760167,-73.975224,40.768275,-73.9818187143
216,498764065.697,Jackson Hts - Roosevelt Av_0,161 St - Yankee Stadium_0,40.746644,-73.891338,40.8279346667,-73.925711
217,477953429.005,Broadway Jct_0,161 St - Yankee Stadium_0,40.678904,-73.9045792,40.8279346667,-73.925711
218,471663842.858,Grand Central - 42 St_0,161 St - Yankee Stadium_0,40.751707,-73.9766866,40.8279346667,-73.925711
219,469942936.469,Junction Blvd_0,161 St - Yankee Stadium_0,40.749145,-73.869527,40.8279346667,-73.925711
220,467896200.344,Kew Gardens - Union Tpke_0,161 St - Yankee Stadium_0,40.714441,-73.831008,40.8279346667,-73.925711
221,450215507.777,125 St_2,161 St - Yankee Stadium_0,40.804138,-73.937594,40.8279346667,-73.925711
222,439863953.161,Queensboro Plaza_0,161 St - Yankee Stadium_0,40.750582,-73.940202,40.8279346667,-73.925711
223,438913438.438,149 St - Grand Concourse_0,161 St - Yankee Stadium_0,40.8183983333,-73.926929,40.8279346667,-73.925711
224,438815158.64,Lexington Av/63 St_0,161 St - Yankee Stadium_0,40.764629,-73.966113,40.8279346667,-73.925711
225,435337210.139,3 Av - 149 St_0,161 St - Yankee Stadium_0,40.816109,-73.917757,40.8279346667,-73.925711
226,432364002.787,Franklin Av_1,161 St - Yankee Stadium_0,40.670682,-73.958131,40.8279346667,-73.925711
227,413525362.375,3 Av - 138 St_0,161 St - Yankee Stadium_0,40.810476,-73.926138,40.8279346667,-73.925711
228,495417499.884,Jackson Hts - Roosevelt Av_0,36 St_0,40.746644,-73.891338,40.655144,-74.003549
229,477658423.223,149 St - Grand Concourse_0,36 St_0,40.8183983333,-73.926929,40.655144,-74.003549
230,474159467.164,125 St_2,36 St_0,40.804138,-73.937594,40.655144,-74.003549
231,471963857.147,Broadway Jct_0,36 St_0,40.678904,-73.9045792,40.655144,-74.003549
232,466232309.034,Grand Central - 42 St_0,36 St_0,40.751707,-73.9766866,40.655144,-74.003549
233,464696328.431,Junction Blvd_0,36 St_0,40.749145,-73.869527,40.655144,-74.003549
234,462778319.879,Kew Gardens - Union Tpke_0,36 St_0,40.714441,-73.831008,40.655144,-74.003549
235,447084705.283,3 Av - 149 St_0,36 St_0,40.816109,-73.917757,40.655144,-74.003549
236,435218358.738,Queensboro Plaza_0,36 St_0,40.750582,-73.940202,40.655144,-74.003549
237,435072010.861,Lexington Av/63 St_0,36 St_0,40.764629,-73.966113,40.655144,-74.003549
238,424934570.283,3 Av - 138 St_0,36 St_0,40.810476,-73.926138,40.655144,-74.003549
239,421861669.793,Franklin Av_1,36 St_0,40.670682,-73.958131,40.655144,-74.003549
240,417323359.895,161 St - Yankee Stadium_0,36 St_0,40.8279346667,-73.925711,40.655144,-74.003549
241,487878632.437,Jackson Hts - Roosevelt Av_0,72 St_2,40.746644,-73.891338,40.768799,-73.958424
242,471588481.876,149 St - Grand Concourse_0,72 St_2,40.8183983333,-73.926929,40.768799,-73.958424
243,469668251.192,Broadway Jct_0,72 St_2,40.678904,-73.9045792,40.768799,-73.958424
244,468198008.783,125 St_2,72 St_2,40.804138,-73.937594,40.768799,-73.958424
245,462310130.648,Junction Blvd_0,72 St_2,40.749145,-73.869527,40.768799,-73.958424
246,458591475.37,Kew Gardens - Union Tpke_0,72 St_2,40.714441,-73.831008,40.768799,-73.958424
247,458352328.769,Grand Central - 42 St_0,72 St_2,40.751707,-73.9766866,40.768799,-73.958424
248,441651600.0,3 Av - 149 St_0,72 St_2,40.816109,-73.917757,40.768799,-73.958424
249,430587498.989,Queensboro Plaza_0,72 St_2,40.750582,-73.940202,40.768799,-73.958424
250,421822143.46,Franklin Av_1,72 St_2,40.670682,-73.958131,40.768799,-73.958424
251,420562800.0,3 Av - 138 St_0,72 St_2,40.810476,-73.926138,40.768799,-73.958424
252,413343003.46,161 St - Yankee Stadium_0,72 St_2,40.8279346667,-73.925711,40.768799,-73.958424
253,409552082.783,36 St_0,72 St_2,40.655144,-74.003549,40.768799,-73.958424
254,242724659.449,Lexington Av/63 St_0,72 St_2,40.764629,-73.966113,40.768799,-73.958424
255,478884049.506,Jackson Hts - Roosevelt Av_0,Euclid Av_0,40.746644,-73.891338,40.675377,-73.872106
256,462002226.43,149 St - Grand Concourse_0,Euclid Av_0,40.8183983333,-73.926929,40.675377,-73.872106
257,457641714.688,125 St_2,Euclid Av_0,40.804138,-73.937594,40.675377,-73.872106
258,448088643.922,Grand Central - 42 St_0,Euclid Av_0,40.751707,-73.9766866,40.675377,-73.872106
259,444899768.148,Junction Blvd_0,Euclid Av_0,40.749145,-73.869527,40.675377,-73.872106
260,442055982.087,Kew Gardens - Union Tpke_0,Euclid Av_0,40.714441,-73.831008,40.675377,-73.872106
